df_ind,title,brand,glowpick_exist
224,[7/19 출고예정] 라곰 셀럽 피에이치 큐어 폼 클렌저 120ml,라곰,O
225,초간편 웨이브 유지템_달리프 컬크림 150ml_탱글탱글 컬 UP / 하루종일 볼륨 유지,달리프,O
226,라네즈 크림스킨 대용량 250ml 스킨로션 올인원 저자극,라네즈,O
227,[증정] 메이크프렘 유브이 디펜스 미 카밍 톤업 선크림 50ml (카밍톤업 20ml 1개+클렌징밀크 21ml 1개 증정),메이크프렘,O
228,프리메라 마일드필링 대용량 필링젤 250ml,프리메라,O
229,헤라 옴므 스페셜 기획세트 2종 (125ml+110ml),헤라,O
230,시세이도 샴푸 250ml/에어리 플로우/복숭아향/곱슬모 전용/부시시한 모발,시세이도프로페셔널,O
231,유라이크 사파이어쿨링 IPL 레이저제모 의료기기 UI04W 반영구 제시 화이트,유라이크(자체제작),X
232,니들리 데일리 토너 패드 60매,니들리,O
233,미쟝센 퍼펙트컬러 멋내기 / 새치커버  (옵션) [ 셀프염색약 ㅣ 미용실 ㅣ 고발색염색 ],미쟝센,O
234,"[닥터크롬셀] 스킨핏 앰플패드 30매 (2매x15세트) 산다라박, 딘딘 셀럽뷰티3 앰플팩, 앰플마스크, 피부진정, 피부보습팩",닥터크롬셀,O
235,아이빛 네일아트 젤네일재료 골드글루 2g_1개입,아이빛,O
236,[플라리아] 오로라 아이섀도우 메이크업 브러쉬 세트 5종+틴케이스,플라리아,O
237,아이오페 NEW 바이오 에센스 168ml,아이오페,O
238,"이노랩 USDA 원료 유기농 화장품 멀티 프로텍션 썬 크림 60ml SPF50  (사전예약, 수딩겔60ml+마스크2매증정)",이노랩,O
239,아이오페 맨 올데이 퍼펙트 올인원 세트 120ml (주름개선 미백 피부진정 올인원),아이오페,O
240,이네이처 모링가 오일 투 폼 클렌저 150ml,이네이처,O
241,[NS] 홍조킬러!  딥 모이스쳐 페이스 젤리 패치 시즌2- 수분 진정 패치,네츄럴샤인,O
242,설화수 자음생에센스 50ml 3중탄력에센스[N페이1만원],설화수,O
243,(사은품증정) 엠도씨 세붐 스트라이크 HD 파우더 티슈,엠도씨,O
244,얼라이브랩 코튼 캔디볼 / 각질패드 50ml,얼라이브랩,O
245,[N단독]설화수 윤조탄력 2종세트(윤조에센스 60ml+탄력크림 75ml),설화수,O
246,한율 흰감국 광채선크림 SPF50+/PA++++70ml/1등선크림+톤업+화장발선크림+투명광채,한율,O
247,[닥터바이오] 에코 썬 모이스처라이저 100ml / 대용량 썬크림 선로션타입 온가족용,닥터바이오,O
248,[블링글로우] 컨실러 펜슬 0.4g,블링글로우,O
249,[1+1행사] 메디펜스 의약외품_마이 클린 핸드 미스트 30ml_허브향,메디펜스,O
250,롬앤 베러 댄 매트 쿠션 3color,롬앤,O
251,해피바스 마이크로 미셀라 딥 클렌징폼 120g [ 마미폼 | 8관왕 초미세먼지 딥클렌징 ],해피바스,O
252,1+1 더 착한 마음 마스크 시트(히알루론산) 24g,네이처리퍼블릭,O
253,센카 퍼펙트휩 폼클렌징 120g,센카,O
254,부르조아 옹브르 아 뽀삐에르 (리틀 라운드팟) 아이섀도우 1.2g,부르조아,O
255,디오메르 리커버시스템 크림 50ml,디오메르,O
256,마녀공장 비피다 바이옴 앰플 토너 400ml (단품or더블세트 중 택1) / 화해 1위/ 민감피부 장벽강화,마녀공장,O
257,[닥터지] 브라이트닝 필링 젤 120g / 얼굴각질제거 고마쥬 스크럽,닥터지,O
258,삐아 라스트 오토 아이브로우 펜슬,삐아,O
259,아벨루나 아쿠아필링기 M-200 1개,아벨루나,O
260,미쟝센 퍼펙트세럼 오리지널 샴푸 680ml [ 손상케어ㅣ 퍼퓸샴푸 ㅣ 아르간오일 ㅣ 미세먼지제거 ],미쟝센,O
261,시에로코스메틱 올데이 프라이머 20ml,시에로,O
262,해피바스 에센스 바디워시 900G 3입 (옵션),해피바스,O
263,락토모아 이너젤 1.7g 120개입,락토모아(자체제작),X
264,[🔥1+1🔥] 달바 레드 미스트 세럼 100ml / 화이트 트러플 바이탈 스프레이 세럼 / 한혜진 PICK / 진정 미스트 / 레드 미스트,달바,O
265,아던샵 셀프속눈썹연장 단품,아던샵,O
266,(20%쿠폰)루나 에센스 수분광 오로라팩트 FX 본품+리필(+크림립스틱),루나,O
267,[1+1] 마녀공장 소다폼 150ml / 화해&15그램 뷰티어워드 클렌징 폼 부문 1위,마녀공장,O
268,이네이처 시카허브 리스토어 시트 마스크 세트(10매입),이네이처,O
269,[무오일화장품] 사바비안 썬파우더로션/유분기 끈적임 눈시림 없는  순한 오일프리 톤업 무기자차썬크림,사바비안,O
270,더랩바이블랑두 올리고 히알루론산 부스팅 앰플 30ml +(패드2매X5EA)증정,더랩 바이 블랑두,O
271,디오메르 데일리 선크림 70ml (SPF50),디오메르,O
272,"[무오일화장품] 사바비안 페이스파우더/ 블랙헤드 코피지제거 모공관리 순한 저자극 약산성폼클렌징(트러블,민감피부도 안심)",사바비안,O
273,뽀빠파리 립트립 벨루어 파리 (8color) / 벨벳틴트 / 보송틴트 / 립틴트,뽀빠파리,O
274,"균일가 플라리아 파운데이션, 섀도우브러쉬, 아이라이너 초코 메이크업브러쉬 모음",플라리아,O
275,(20%쿠폰)루나 스테디셀러 수분광팩트 베스트 모음전(+미니컨실러+파데6ml),루나,O
276,락토모아 이너젤 1.7g 20개입 러브 수용성,락토모아(자체제작),X
277,블랙빈 안티 헤어로스 520ml 대용량 샴푸,네이처리퍼블릭,O
278,[공식몰][소울시즌스] 퍼퓸드 바디 스크럽 280g 우드 스쿱 포함+바디워시정품증정,소울시즌스,O
279,[릴리바이레드] 스태리아이즈 젤/슬림라이너 택1,릴리바이레드,O
280,히스테모 지루성두피염 샴푸 뾰루지,히스테모,O
281,디어달리아 드림 래쉬 컬러 62x108mm,디어달리아,O
282,려 헤리티지 비오틴비타 탈모증상완화 샴푸 585ml,려,O
283,삐아 라스트 벨벳 립 틴트 1,삐아,O
284,포렌코즈 속타투 틴트,포렌코즈,O
285,[증정] 메이크프렘 유브이 디펜스 미 데일리 선플루이드 150ml (+클렌징밀크 21ml 2개),메이크프렘,O
286,원스텝 오리지널 클리어 패드 70매_핌플패드,코스알엑스,O
